GRAPHEME	IPA
mk~	m k
ml~	m l
mN~	m ŋ
mr~	m r
mZ~	m ʒ
ms~	m s
mz~	m z
mC~	m tʃ
mj~	m dʒ
mt~	m t
nf~	n f
NX~	ŋ χ
nX~	n χ
57~	ɲ ʔ
4y~	n̪ j
nq~	n q
nL~	n ʎ
nl~	n l
Nm~	ŋ m
nm~	n m
5n~	ŋ n
n5~	n ɲ
nN~	n ŋ
nb~	n b
nr~	n r
4d~	n d
4j~	n̪ dʒ
4t~	n̪ t
5j~	ɲ dʒ
nC"~	n tʃʼ
bv~	b v
pv~	p v
bq~	b q
pk~	p k
bl~	b l
pl~	p l
bm~	b m
pm~	p m
pn~	p n
pr~	p r
p"r~	pʼ r
ps~	p s
pd~	p d
rg~	r g
rl~	r l
r5~	r ɲ
rn~	r n
rp~	r p
rd~	r d
rt~	r t
Sf~	ʃ f
Sv~	ʃ v
Zv~	ʒ v
sf~	s f
sv~	s v
sc~	s ts
S8~	ʃ θ
Sk~	ʃ k
sl~	s l
zl~	z l
sn~	s n
zn~	z n
Sb~	ʃ b
Sr~	ʃ r
sr~	s r
zr~	z r
SZ~	ʃ ʒ
sZ~	s ʒ
sz~	s z
St~	ʃ t
sC~	s tʃ
st~	s t
Cf~	tʃ f
Cv~	tʃ v
dv~	d v
tf~	t f
tv~	t v
CCf~	tʃ f
jjv~	dʒ v
dT~	d c
tT~	t c
d8~	d θ
t8~	t θ
t8"~	t θ’
tX~	t χ
ty*	t ĩ
tk~	t k
dh~g~	dʰ g
dL~	d ʎ
dl~	d l
tL~	t ʎ
tl~	t l
tL"~	t ʎ’
tl"~	t l’
tn~	t n
Cr~	tʃ r
dr~	d r
tr~	t r
CZ~	tʃ ʒ
dt~	d t
ov~	o v
oh~	o h
oy~	o j
oS~	o ʃ
ow*	õ w
ow~	o w
w*a	w ɐ̃
w*e	w ẽ
w*a*	w ɐ̃
wh~	w h
w*i	w ĩ
wy~	w i
wm~	w m
wn~	w n
w*o	w õ
wh~o	w o
w*u	w ũ
ux~	u x
wX~	u χ
uh~	u h
wk~	u k
wl~	u l
un~	u n
wr~	u r
wd~	u d
wj~	u dʒ
uw~	u w
iw*a	i w ɐ̃
i*w*a*	ĩ w ɐ̃
kwx~	k u x
Cih~	tʃ i h
ow7~	o w ʔ
wh~aN	w ɐ ŋ
wh~at	w ɐ t
SZ~cz~	ʃ ʒ ts z
sz~cz~	s z ts z
own~e*i*	o w n ẽ ĩ
n3t"8~37	n ə tʼ θ ə ʔ
to7oSyh~3y	t o ʔ o ʃʰ ə j
