Glottocode	Doculect
apuc1241	SOUTH_ANDAMAN
apur1254	APURINA
aput1237	APUTAI
arab1268	ARABELA
arag1245	ARAGONESE
arak1252	ARAKI
aral1243	ARALLE
aran1237	ARANDAI_TAROF
arao1248	ARAONA
arap1274	ARAPAHO
araw1272	ARAWUM
araw1273	ARAWETE
araw1276	LOKONO
arbo1245	ARBORE
arch1244	ARCHI
area1240	MARAU
aree1239	ARE
argo1244	ARGOBBA
argu1237	ARGUNI
arhu1242	IKA
arib1241	ARIBWATSA
arig1246	ARIGIDI
arii1243	GOGODALA_ARI
arik1262	ARIKARA
arik1265	ARIKAPU
arin1243	ARIN
arin1244	ARINGA_2
arom1237	VLACH
arop1242	AROP_SISSANO
arop1243	LUKEP
aros1241	ONEIBIA_AROSI
arua1260	MIKAREW
arue1240	ARUEK
aruo1240	SRENGE
arut1244	AWAKE
asar1240	ASARO7O
asas1240	ASAS
asha1243	ASHANINKA
ashe1269	ITOO
ashe1272	CAMPA_DE_PERENE
ashk1246	ASHKUN
asil1242	ASILULU
assa1263	ASSAMESE
assi1247	ASSINIBOINE
asss1237	AS
assy1241	ASSYRIAN_NEO_ARAMAIC
astu1245	ASTURIAN
asum1237	ASUMBOA
asun1235	ASU_NIGERIA_2
asut1235	PARE
atak1252	ATAKAPA
atam1240	MANOBO_ATA
atay1247	ATAYAL
atem1241	ATEMPLE
athp1241	ATHPARE
atii1237	SOGODNIN_BORACAY
atik1240	ATIKAMEKW
atoh1238	KAUGAT
aton1241	A_TONG
atsu1245	ATSUGEWI
atti1239	ATTIE
atzi1235	OCUILTECO
aulu1238	AULUA
aush1241	AUSHI
aust1304	RURUTUAN
avac1239	AVA_CANOEIRO
avar1256	AVAR
avat1244	SIDEME
avau1237	AVAU
aves1237	AVESTAN_2
avik1243	AVIKAM_2
avok1242	OJILA
awab1243	AWABAKAL
awac1238	DAMANGNUO_WA
awac1239	AWA_PIT
awad1243	AWADHI
awad1244	BILIAU
awap1236	AWA_2
awar1248	AWARA
awar1249	AWAR_3
awer1241	AWERA
awin1248	AWING
awiy1238	AUYANA
awji1241	AWJILAH
awng1244	AWNGI
awtu1239	AWTUW
awun1245	AWUN
awut1241	EFUTU
awyi1241	AWJI
axam1237	AXAMB
ayac1239	ATALLA
ayau1235	SAN_BARTOLOME_AYAUTLA
ayer1245	AYERE
ayiw1239	AYIWO
ayoq1235	AYOQUESCO_ZAPOTEC
